Agent名称,发送的prompt,收到的内容,回合
A001_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A001_NJ_BK | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A001_NJ_BK | Round=1
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A001_NJ_BK | Round=1
调整排班：晚高峰增1人、早餐减1人，控工时与等候；推$6午市套餐，拉新与带单；盘点冷冻与酱料，预补牛肉饼/薯条防断供。",1
A002_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A002_NJ_BK | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A002_NJ_BK | Round=1
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A002_NJ_BK | Round=1
高峰加人、闲时减时，控人工成本提服务速率。
配合总部优惠加强陈列与社媒曝光，拉动客流。
盘点冷冻与酱料，调订货量，防缺货与报废。",1
A003_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A003_NJ_BK | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A003_NJ_BK | Round=1
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A003_NJ_BK | Round=1
- 午晚高峰增派前台与厨房各1人，缩短等待。
- 周末加大皇堡与薯条库存10%，防断货。
- 清洗校准油炸机与探针，降低设备与食品安全风险。",1
A004_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A004_NJ_BK | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A004_NJ_BK | Round=1
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A004_NJ_BK | Round=1
高峰增派前台/炸台，压等待；滤油两次并清洗饮料机，稳品质；生菜薯条补货增两成，防断供。",1
A005_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A005_NJ_BK | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A005_NJ_BK | Round=1
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A005_NJ_BK | Round=1
晚高峰增收银与厨房人手，提速出餐；午间套餐9折引流；盘点生鲜与冷冻并下单补货。",1
A006_NJ_BK,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A006_NJ_BK | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A006_NJ_BK | Round=1
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A006_NJ_BK | Round=1
调整排班，压缩加班至<5%，控制人工成本。
周末推出$5超值套餐，带动客流与附加购。
盘点牛肉/生菜与面包，提前补货；清洗油炸机，排查灭火系统。",1
A007_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A007_NJ_KFC | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A007_NJ_KFC | Round=1
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A007_NJ_KFC | Round=1
午晚高峰增派1人，控等待与差评；推工作日桶餐2美元折扣，拉动客流；周三清点并下单鸡肉/薯条与纸品，防断货。",1
A008_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A008_NJ_KFC | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A008_NJ_KFC | Round=1
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A008_NJ_KFC | Round=1
周末前台增2人，降等候；加订鸡翅与冰淇淋料，备高温需求；本周滤油+油锅保养并做10分钟消防演练。",1
A009_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A009_NJ_KFC | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A009_NJ_KFC | Round=1
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A009_NJ_KFC | Round=1
高峰(周末/晚餐)加派前后场，平峰压工时控成本。
午市推小食+饮品组合折扣，拉动客流提客单。
盘点关键食材与包装，提报短缺；检修油炸机与排烟。",1
A010_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
请严格遵循：你的回复第一行必须是：Agent=A010_NJ_KFC | Round=1。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A010_NJ_KFC | Round=1
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A010_NJ_KFC | Round=1
周末晚高峰增2人前台与炸台，压缩等候，严控加班。
推出工作日午市2人餐捆绑促销，拉动客流与客单。
复查油质与冷藏温度，制冰机保养，防食安与宕机。",1
